Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1241586,-,-,-,39.33,-74.1,-5,0,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Month,Day,Hour,Minute,Cloud Type,Dew Point,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,12,0,0,-6.9,0,5.8,0.3,289,71.74,-2.5,1031,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,12,30,0,-6.9,0,5.8,0.4,285,70.68,-2.3,1031,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,13,0,0,-6.9,0,5.8,0.4,281,69.42,-2,1031,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,13,30,0,-6.9,0,5.8,0.4,279,68.91,-1.9,1031,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,14,0,0,-6.7,0,5.9,0.4,277,68.6,-1.7,1030,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,14,30,0,-6.7,0,5.9,0.4,275,68.1,-1.6,1030,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,15,0,0,-6.5,0,5.9,0.4,274,69.02,-1.6,1030,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,15,30,0,-6.5,0,5.8,0.4,273,69.53,-1.7,1030,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,16,0,0,-6.4,0,5.7,0.4,271,71.01,-1.8,1030,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,16,30,0,-6.4,0,5.7,0.4,270,72.07,-2,1030,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,17,0,0,-6.2,0,5.7,0.4,269,73.42,-2.1,1030,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,17,30,0,-6.2,0,5.7,0.4,269,73.42,-2.1,1030,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,18,0,0,-6.1,0,5.8,0.4,268,74.74,-2.2,1030,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,18,30,0,-6.1,0,5.8,0.4,268,74.74,-2.2,1030,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,19,0,0,-6,0,5.9,0.3,267,75.83,-2.3,1030,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,19,30,0,-6,0,5.9,0.3,266,75.83,-2.3,1030,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,20,0,0,-6,0,5.9,0.3,265,76.52,-2.4,1030,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,20,30,0,-6,0,5.9,0.3,264,76.52,-2.4,1030,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,21,0,0,-6,0,5.9,0.3,263,76.4,-2.4,1030,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,21,30,0,-6,0,5.9,0.3,264,76.33,-2.4,1029,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
